t,v_bus_2,v_bus_7,v_bus_9,q_bus_2,q_bus_7,q_bus_9
2686,0.9828066535590746,0.9553260413458481,0.9507594972369445,-5.0,-5.0,-2.0
2687,0.9828068842927785,0.9553267221574402,0.9507602940854595,-5.0,-5.0,-2.0
2688,0.9828071150261273,0.9553274029679083,0.9507610909326298,-5.0,-5.0,-2.0
2689,0.9828073455295362,0.955328083099831,0.9507618869855746,-5.0,-5.0,-2.0
2690,0.98280757649176,0.9553287645854729,0.9507626846229362,-5.0,-5.0,-2.0
2691,0.9828078067648756,0.9553294440377306,0.9507634798803164,-5.0,-5.0,-2.0
2692,0.9828080377263888,0.9553301255211237,0.9507642775149873,-5.0,-5.0,-2.0
2693,0.9828082684579629,0.9553308063259736,0.9507650743554354,-5.0,-5.0,-2.0
2694,0.9828084987300155,0.9553314857748673,0.9507658696087908,-5.0,-5.0,-2.0
2695,0.9828087296904631,0.9553321672548866,0.9507666672394253,-5.0,-5.0,-2.0
2696,0.9828089601913899,0.9553328473789523,0.9507674632829692,-5.0,-5.0,-2.0
2697,0.9828091909215445,0.9553335281793088,0.9507682601180415,-5.0,-5.0,-2.0
2698,0.9828094216513443,0.9553342089785419,0.9507690569517689,-5.0,-5.0,-2.0
2699,0.9828096521512075,0.9553348890992401,0.9507698529912845,-5.0,-5.0,-2.0
2700,0.9828098828802975,0.9553355698962267,0.9507706498223241,-5.0,-5.0,-2.0
2701,0.9828101136090323,0.955336250692089,0.950771446652019,-5.0,-5.0,-2.0
2702,0.9828103445669926,0.955336932164235,0.9507722442732328,-5.0,-5.0,-2.0
2703,0.982810575065437,0.9553376122804426,0.950773040307375,-5.0,-5.0,-2.0
2704,0.9828108057931071,0.9553382930729336,0.9507738371330362,-5.0,-5.0,-2.0
2705,0.9828110365204219,0.9553389738643009,0.9507746339573525,-5.0,-5.0,-2.0
2706,0.9828077533530446,0.9553292672942769,0.9507632675408981,-5.0,-5.0,-2.0
2707,0.9828006754383223,0.9553083431031221,0.9507387656622589,-5.0,-5.0,-2.0
2708,0.9828009061813562,0.9553090239441651,0.9507395625460016,-5.0,-5.0,-2.0
2709,0.9827942268902843,0.9552892756713195,0.9507164369226866,-5.0,-5.0,-2.0
2710,0.982790912165101,0.9552794745196691,0.9507049593766365,-5.0,-5.0,-2.0
2711,0.9827901358505986,0.9552771838790476,0.9507022783143367,-5.0,-5.0,-2.0
2712,0.9827893588432385,0.955274891193173,0.9506995948578548,-5.0,-5.0,-2.0
2713,0.9827885827503071,0.9552726012046038,0.9506969145580818,-5.0,-5.0,-2.0
2714,0.9827936152447012,0.9552874840213412,0.9507143436472882,-5.0,-5.0,-2.0
2715,0.9827940006779216,0.9552886280367202,0.9507156845753748,-5.0,-5.0,-2.0
2716,0.9827932243797125,0.9552863374474827,0.9507130035745325,-5.0,-5.0,-2.0
2717,0.9827924485366997,0.95528404820051,0.9507103241444015,-5.0,-5.0,-2.0
2718,0.9827916710824085,0.9552817541983417,0.9507076391482595,-5.0,-5.0,-2.0
2719,0.9827908952313579,0.9552794649259245,0.9507049596876845,-5.0,-5.0,-2.0
2720,0.9827901189170695,0.9552771742857866,0.9507022786259407,-5.0,-5.0,-2.0
2721,0.982789342139536,0.9552748822779051,0.9506995959630009,-5.0,-5.0,-2.0
2722,0.9827885658172054,0.9552725916123102,0.9506969148707979,-5.0,-5.0,-2.0
2723,0.9827877892612401,0.9552703002564731,0.9506942329703748,-5.0,-5.0,-2.0
2724,0.9827870122420203,0.9552680075328617,0.9506915494687188,-5.0,-5.0,-2.0
2725,0.982786235907625,0.9552657168290757,0.9506888683308207,-5.0,-5.0,-2.0
2726,0.9827854600284474,0.95526342746762,0.9506861887637129,-5.0,-5.0,-2.0
2727,0.9827846827675353,0.9552611340282616,0.9506835044233202,-5.0,-5.0,-2.0
2728,0.9827839064210776,0.9552588432862901,0.9506808232397338,-5.0,-5.0,-2.0
2729,0.9827831305298438,0.9552565538866709,0.9506781436269636,-5.0,-5.0,-2.0
2730,0.9827823532568543,0.9552542604090803,0.9506754592408269,-5.0,-5.0,-2.0
2731,0.9827815768983332,0.9552519696289211,0.9506727780115495,-5.0,-5.0,-2.0
2732,0.9827808003061658,0.955249678158484,0.950670095974009,-5.0,-5.0,-2.0
2733,0.9827800237099755,0.9552473866753118,0.9506674139212312,-5.0,-5.0,-2.0
2734,0.98277022266203,0.9552184177871961,0.9506334933938871,-5.0,-5.0,-2.0
